task_id,title,repeat,method,mode,success,answer_correct,tool_correct,final_format_correct,constraint_preserved,structure_safe,state_roundtrip,model_calls,tool_calls,tool_names,actual_input_tokens,actual_output_tokens,reasoning_tokens,sanitized_model_response_count,actual_peak_input_tokens,approximate_input_tokens,approximate_peak_input_tokens,latency_seconds,api_retry_count,api_request_attempts,restore_failure_count,unmatched_call_count,pending_view_count,resync_count,authoritative_resync_count,protected_group_count,hard_budget_violation_count,estimated_peak_model_input_tokens,estimated_peak_reserved_tokens,error_type,error_message,final_output
customer_migration,客户迁移窗口决策,0,none,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",11514,319,0,0,4185,11514,4185,0.22859160002553836,0,0,0,0,0,2,0,3,0,3911,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
customer_migration,客户迁移窗口决策,0,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",10265,319,0,0,3593,10265,3593,0.38686820000293665,0,0,0,0,0,2,0,3,0,3648,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
customer_migration,客户迁移窗口决策,1,none,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",12115,319,0,0,4385,12115,4385,0.266162699990673,0,0,0,0,0,2,0,3,0,4069,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
customer_migration,客户迁移窗口决策,1,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",10726,319,0,0,3747,10726,3747,0.45767599999089725,0,0,0,0,0,2,0,3,0,3801,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
customer_migration,客户迁移窗口决策,2,none,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",12722,319,0,0,4588,12722,4588,0.23757869997643866,0,0,0,0,0,2,0,3,0,4229,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
customer_migration,客户迁移窗口决策,2,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",11192,319,0,0,3902,11192,3902,0.4649288000073284,0,0,0,0,0,2,0,3,0,3954,653,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar eu-west window 02:00 UTC with 28% headroom
incident_triage,支付服务故障分诊,0,none,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",11582,337,0,0,4235,11582,4235,0.23565429999143817,0,0,0,0,0,2,0,3,0,3959,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
incident_triage,支付服务故障分诊,0,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",8178,337,0,0,2925,8178,2925,0.34747529999003746,0,0,0,0,0,2,0,3,0,3004,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
incident_triage,支付服务故障分诊,1,none,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",12185,337,0,0,4436,12185,4436,0.24678640000638552,0,0,0,0,0,2,0,3,0,4117,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
incident_triage,支付服务故障分诊,1,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",8379,337,0,0,2992,8379,2992,0.4255811999901198,0,0,0,0,0,2,0,3,0,3071,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
incident_triage,支付服务故障分诊,2,none,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",12791,337,0,0,4638,12791,4638,0.2937282999919262,0,0,0,0,0,2,0,3,0,4277,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
incident_triage,支付服务故障分诊,2,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",8583,337,0,0,3060,8583,3060,0.44729119999101385,0,0,0,0,0,2,0,3,0,3137,696,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded after release-2026.09.17; rollback is safe
release_readiness,版本发布准入判断,0,none,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",11423,322,0,0,4158,11423,4158,0.239575200015679,0,0,0,0,0,2,0,3,0,3886,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
release_readiness,版本发布准入判断,0,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",10173,322,0,0,3566,10173,3566,0.3757575999770779,0,0,0,0,0,2,0,3,0,3623,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
release_readiness,版本发布准入判断,1,none,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",12025,322,0,0,4359,12025,4359,0.2640906000160612,0,0,0,0,0,2,0,3,0,4044,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
release_readiness,版本发布准入判断,1,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",10635,322,0,0,3720,10635,3720,0.3807051999901887,0,0,0,0,0,2,0,3,0,3776,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
release_readiness,版本发布准入判断,2,none,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",12631,322,0,0,4561,12631,4561,0.21775320000597276,0,0,0,0,0,2,0,3,0,4204,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
release_readiness,版本发布准入判断,2,pruner_v1,mock,True,True,True,True,True,True,True,3,2,"['read_release_tests', 'read_release_risks']",11100,322,0,0,3875,11100,3875,0.4686041999957524,0,0,0,0,0,2,0,3,0,3929,646,,,"RESULT task=release_readiness decision=NO-GO evidence=Atlas-2.4 tests 184 passed, 0 failed; migration lock unresolved"
